id,type,rule_name,condition_type,condition_value,affected_field,adjustment_action,adjustment_value,applies_to_task_ids,applies_to_model_families,confidence,notes,evidence_ids
rule_linear_scaling_lr0,AdjustmentRule,Linearly scale lr0 when changing batch size,HardwareConstraint,LowerBatchSize,lr0,scale_down,lr_new = lr_base * (batch_new / batch_base),object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Linear scaling rule for mini-batch SGD/Adam to prevent divergence.,evidence_ultralytics_hpo_docs
rule_early_stopping_patience,AdjustmentRule,Enable early stopping to save compute,TrainingIssue,ComputeOptimization,patience,set,50 (ensure patience < epochs),object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Prevents wasting GPU hours on a model that has stopped improving. Standard heuristic is patience=50 when epochs=100 to 300.,evidence_ultralytics_train_docs|evidence_ultralytics_early_stopping
rule_retinanet_focal_loss_for_class_imbalance,AdjustmentRule,Tune RetinaNet focal loss for class imbalance,DatasetProperty,ClassImbalance,"focal_loss_gamma, focal_loss_alpha",tune,"Start with gamma=2 and alpha=0.25; consider gamma in 0.5-5 when imbalance severity differs.",object_detection,RetinaNet,High,The RetinaNet paper introduces focal loss for dense-detector foreground/background imbalance and reports gamma=2 as the best practical default with robustness across a wider range.,evidence_lin_focal_loss
rule_retinanet_low_vram_batch_lr_scaling,AdjustmentRule,Scale RetinaNet batch size and LR for fewer GPUs,gpu_memory_limited,true,"batch_size_default, learning_rate_default",scale_down,"Reference recipe is 8 GPUs x 2 images/GPU with LR 0.01 for RetinaNet; reduce per-GPU batch if needed and scale LR with effective batch/GPU count.",object_detection,RetinaNet,Medium,Torchvision detection references state defaults are tuned for 8 GPUs and 2 images per GPU and provide learning-rate scaling guidance; exact lower-VRAM settings remain hardware-dependent.,evidence_torchvision_detection_reference
rule_retinanet_accuracy_first_input_scale,AdjustmentRule,Use larger RetinaNet input scale for accuracy-first use,performance_priority,AccuracyFirst,image_size_default,increase,Prefer larger image scales such as 800 when validation AP matters more than latency and GPU memory allows.,object_detection,RetinaNet,Medium,The RetinaNet paper reports higher AP for larger input/backbone settings while also showing increased inference time; validate on the target dataset.,evidence_lin_focal_loss
rule_retinanet_latency_first_input_scale,AdjustmentRule,Use smaller RetinaNet input scale for latency-first use,performance_priority,LatencyFirst,image_size_default,decrease,Prefer smaller image scales such as 500 when latency or memory matters more than AP.,object_detection,RetinaNet,Medium,The RetinaNet paper's speed-accuracy comparison shows smaller RetinaNet input scales have lower inference time but lower AP.,evidence_lin_focal_loss
rule_retinanet_freeze_backbone_on_small_dataset,AdjustmentRule,Freeze more RetinaNet backbone layers for small datasets,DatasetProperty,SmallDataset_LT_1000,trainable_backbone_layers,decrease,Use the Torchvision pretrained default of 3 trainable backbone layers or freeze more layers if overfitting appears.,object_detection,RetinaNet,Medium,Torchvision documents trainable_backbone_layers with default 3 for pretrained RetinaNet; freezing more layers for tiny datasets is a conservative fine-tuning heuristic.,evidence_torchvision_retinanet_docs
rule_detectron2_retinanet_set_num_classes,AdjustmentRule,Set RetinaNet class count for custom datasets,DatasetProperty,CustomClassCount,MODEL.RETINANET.NUM_CLASSES,set,<custom_num_classes>,object_detection,RetinaNet,High,Detectron2 custom dataset docs explicitly require MODEL.RETINANET.NUM_CLASSES to match the number of thing classes; incompatible pretrained classifier layers are expected when class count changes.,evidence_detectron2_custom_dataset_docs
rule_detectron2_retinanet_scale_lr_batch,AdjustmentRule,Scale Detectron2 RetinaNet LR with GPU and batch count,HardwareConstraint,FewerGPUs,"SOLVER.IMS_PER_BATCH, SOLVER.BASE_LR",scale,"Base config uses IMS_PER_BATCH=16 and BASE_LR=0.01 for 8-GPU training; for 1 GPU use IMS_PER_BATCH=2 and scale LR down proportionally.",object_detection,RetinaNet,High,Detectron2 docs state configs are made for 8-GPU training and show one-GPU batch/LR scaling; Base-RetinaNet provides RetinaNet-specific IMS_PER_BATCH and BASE_LR.,evidence_detectron2_training_docs|evidence_detectron2_retinanet_config
rule_detectron2_retinanet_longer_schedule_for_accuracy,AdjustmentRule,Prefer Detectron2 RetinaNet 3x schedule for accuracy-first use,performance_priority,AccuracyFirst,SOLVER.MAX_ITER,increase,Use 3x schedule MAX_ITER=270000 with STEPS=210000|250000 instead of 1x MAX_ITER=90000 when compute allows.,object_detection,RetinaNet,High,Detectron2 RetinaNet model zoo reports higher R50 AP for the 3x schedule than the 1x schedule; official configs define the 1x and 3x iteration schedules.,evidence_detectron2_model_zoo|evidence_detectron2_retinanet_config
rule_detectron2_retinanet_increase_detections_crowded,AdjustmentRule,Increase Detectron2 detections per image for crowded scenes,DatasetProperty,CrowdedEnvironment,TEST.DETECTIONS_PER_IMAGE,increase,Set above 100 when test images may contain more than 100 objects.,object_detection,RetinaNet,High,Detectron2 custom dataset docs state TEST.DETECTIONS_PER_IMAGE controls the maximum objects detected and should be increased for images with more than 100 objects.,evidence_detectron2_custom_dataset_docs
rule_fasterrcnn_set_num_classes_torchvision,AdjustmentRule,Replace Faster R-CNN predictor for custom classes,DatasetProperty,CustomClassCount,roi_heads.box_predictor,replace,"Use FastRCNNPredictor(in_features, num_classes) after loading COCO-pretrained fasterrcnn_resnet50_fpn weights.",object_detection,Faster R-CNN,High,Torchvision finetuning tutorial explicitly shows replacing the pretrained FastRCNNPredictor head for the target class count.,evidence_torchvision_detection_finetuning_tutorial
rule_detectron2_fasterrcnn_set_num_classes,AdjustmentRule,Set Faster R-CNN ROI class count for custom datasets,DatasetProperty,CustomClassCount,MODEL.ROI_HEADS.NUM_CLASSES,set,<custom_num_classes>,object_detection,Faster R-CNN,High,Detectron2 custom dataset docs require MODEL.ROI_HEADS.NUM_CLASSES to match the number of thing classes; incompatible pretrained classifier layers are expected when class count changes.,evidence_detectron2_custom_dataset_docs
rule_fasterrcnn_low_vram_batch_lr_scaling,AdjustmentRule,Scale Faster R-CNN batch size and LR for fewer GPUs,HardwareConstraint,FewerGPUs,"batch_size_default, learning_rate_default",scale,Torchvision reference defaults are 8 GPUs x 2 images/GPU with LR 0.02; Detectron2 Base-RCNN-FPN uses IMS_PER_BATCH=16 and BASE_LR=0.02. Scale LR with effective batch size when reducing GPUs.,object_detection,Faster R-CNN,High,Torchvision train script states defaults are tuned for 8 GPUs and 2 images per GPU and gives LR scaling guidance; Detectron2 docs also show one-GPU batch/LR scaling.,evidence_torchvision_detection_reference|evidence_detectron2_training_docs|evidence_detectron2_fasterrcnn_config
rule_fasterrcnn_longer_schedule_for_accuracy,AdjustmentRule,Prefer Faster R-CNN 3x schedule for accuracy-first use,performance_priority,AccuracyFirst,SOLVER.MAX_ITER,increase,Use 3x schedule MAX_ITER=270000 with STEPS=210000|250000 instead of 1x MAX_ITER=90000 when compute allows.,object_detection,Faster R-CNN,High,Detectron2 model zoo reports higher R50-FPN AP for the 3x schedule than the 1x schedule; official configs define 1x and 3x iteration schedules.,evidence_detectron2_fasterrcnn_model_zoo|evidence_detectron2_fasterrcnn_config
rule_fasterrcnn_increase_detections_crowded,AdjustmentRule,Increase Faster R-CNN detections per image for crowded scenes,DatasetProperty,CrowdedEnvironment,TEST.DETECTIONS_PER_IMAGE,increase,Set above 100 when test images may contain more than 100 objects.,object_detection,Faster R-CNN,High,Detectron2 custom dataset docs state TEST.DETECTIONS_PER_IMAGE controls the maximum objects detected and should be increased for images with more than 100 objects.,evidence_detectron2_custom_dataset_docs
rule_fasterrcnn_freeze_backbone_on_small_dataset,AdjustmentRule,Freeze more Faster R-CNN backbone layers for small datasets,DatasetProperty,SmallDataset_LT_1000,trainable_backbone_layers,decrease,Use the Torchvision pretrained default of 3 trainable backbone layers or freeze more layers if overfitting appears.,object_detection,Faster R-CNN,Medium,Torchvision documents trainable_backbone_layers with default 3 for pretrained Faster R-CNN; freezing more layers for tiny datasets is a conservative fine-tuning heuristic.,evidence_torchvision_fasterrcnn_docs
rule_fasterrcnn_accuracy_first_rpn_proposals,AdjustmentRule,Keep or raise Faster R-CNN RPN proposals for recall-sensitive tasks,performance_priority,AccuracyFirst,RPN.POST_NMS_TOPK_TEST,keep_or_increase,Keep the Detectron2 default POST_NMS_TOPK_TEST=1000 for Faster R-CNN FPN and validate before reducing proposal counts.,object_detection,Faster R-CNN,Medium,Detectron2 Base-RCNN-FPN config sets RPN pre/post-NMS proposal counts; reducing proposals is an accuracy-latency tradeoff that should be validated on the target dataset.,evidence_detectron2_fasterrcnn_config
rule_ssd_custom_classes_use_backbone_weights,AdjustmentRule,Use SSD backbone weights for custom class counts,DatasetProperty,CustomClassCount,"weights, weights_backbone, num_classes",set,"For custom class counts, initialize SSD300 with num_classes=<custom_num_classes> and weights_backbone=VGG16_Weights.IMAGENET1K_FEATURES; do not assume weights=DEFAULT can directly fine-tune a different class count.",object_detection,SSD,High,Torchvision SSD docs expose num_classes and weights_backbone; source code overrides num_classes to COCO categories when COCO detector weights are used.,evidence_torchvision_ssd_docs|evidence_torchvision_ssd_source
rule_ssd_low_vram_reduce_batch,AdjustmentRule,Reduce SSD batch size on limited VRAM,HardwareConstraint,FewerGPUs,batch_size_default,decrease,Reference SSD300 recipe uses batch-size 4 per GPU on 8 GPUs; reduce per-GPU batch if memory is limited and retune learning rate if effective batch changes.,object_detection,SSD,Medium,Torchvision SSD300 reference command gives batch-size 4 and LR 0.002 on 8 GPUs; exact LR scaling for changed SSD effective batch is not explicitly prescribed.,evidence_torchvision_detection_reference
rule_ssd_use_ssd_augmentation,AdjustmentRule,Use SSD-specific augmentation policy,DatasetProperty,GeneralDetection,data_augmentation,set,Use data_augmentation=ssd as the starting augmentation policy for SSD300 training.,object_detection,SSD,High,"Torchvision SSD300 reference command uses --data-augmentation ssd; the preset applies photometric distort, zoom-out, IoU crop, and horizontal flip.",evidence_torchvision_detection_reference
rule_ssd_fixed_input_size,AdjustmentRule,Keep SSD300 fixed input size unless changing architecture,ModelConstraint,SSD300,image_size_default,set,Use 300x300 input for SSD300 VGG16; choose another SSD variant rather than freely changing image size.,object_detection,SSD,High,"Torchvision SSD300 docs state images are resized to a fixed size and the source constructs SSD300 with fixed size (300, 300).",evidence_torchvision_ssd_docs|evidence_torchvision_ssd_source
rule_ssd_freeze_backbone_on_small_dataset,AdjustmentRule,Freeze more SSD backbone layers for small datasets,DatasetProperty,SmallDataset_LT_1000,trainable_backbone_layers,decrease,Use the Torchvision pretrained default of 4 trainable backbone layers or freeze more layers if overfitting appears.,object_detection,SSD,Medium,Torchvision documents trainable_backbone_layers with default 4 for pretrained SSD300; freezing more layers for tiny datasets is a conservative fine-tuning heuristic.,evidence_torchvision_ssd_docs
rule_ssd_adjust_nms_threshold_for_duplicates,AdjustmentRule,Tune SSD NMS threshold for duplicate detections,PredictionIssue,DuplicateDetections,nms_thresh,decrease,Start from the Torchvision SSD default nms_thresh=0.45 and decrease if duplicate boxes persist after validation.,object_detection,SSD,Medium,Torchvision SSD source code sets nms_thresh=0.45; lowering NMS threshold is a post-processing tradeoff that should be validated on the target dataset.,evidence_torchvision_ssd_source
rule_ssd_adjust_score_threshold_for_false_positives,AdjustmentRule,Tune SSD score threshold for false positives,PredictionIssue,FalsePositives,score_thresh,increase,Start from the Torchvision SSD default score_thresh=0.01 and raise it if false positives are too frequent.,object_detection,SSD,Medium,Torchvision SSD source code sets score_thresh=0.01; score-threshold tuning is a validation-time precision-recall tradeoff.,evidence_torchvision_ssd_source
